question_id,question,composite_difficulty,difficulty_band,elo_difficulty_mean,elo_difficulty_sd,criticality_score,domain,glicko_rating,glicko_rd,glicko_volatility,faithfulness,answer_relevance,context_recall,composite_ragas
fc696ad6-995b-4670-a69a-64f4a395caa3,In what ways can this methodological approach impact future curriculum design across disciplines?,2.6667,hard,1577.6840150507355,1.213489948337448,2.0,Research and Development,1708.9809779566738,291.0615622722577,0.059999650461355115,0.5365,0.4382,0.4545,0.4764
b56698f8-1cba-4841-89c2-84e1f4ce9e95,How does the concept of entropy apply to economic systems?,2.6667,hard,1577.7719073146309,1.0925454068565104,1.0,Informational,1708.9809779566738,291.0615622722577,0.059999650461355115,0.4899,0.3975,0.4019,0.4298
2a50f720-593d-4fe8-b51f-7df971a083a8,How is an imbalance in representation identified as part of a hype scenario?,2.3333,hard,1545.5794600028937,1.2126648643052644,2.0,Research and Development,1685.432608382529,290.5055510397336,0.059999813642104605,0.6038,0.5467,0.5131,0.5545
fb84b1d8-9a22-4847-b0b1-1576d0a396ff,How does the American framework differ from the European construct in Uniswap V3?,2.3333,hard,1545.506197181757,1.234870388218031,2.0,Research and Development,1685.432608382529,290.5055510397336,0.059999813642104605,0.6511,0.3169,0.2317,0.3999
2ee8e18e-07f7-40a7-91b0-47d514f6913b,What role does information about other agents play in mechanism design?,2.0,medium,1513.3709130991276,1.1996092213265432,2.0,Research and Development,1662.3108949761174,290.3189646747521,0.06,0.5337,0.6434,0.5866,0.5879
aef516d0-ea1b-4873-b478-ca2b1b8e3b76,Can subjective beliefs replace objective stochastic processes in this approach?,2.0,medium,1513.1383639137646,1.1826460049177445,2.0,Research and Development,1662.3108949761174,290.3189646747521,0.06,0.5748,0.7296,0.4015,0.5686
d72df1c0-5a86-440d-9332-8a855b2761ac,Why might one choose to use KDE-HPD over traditional conformal methods?,2.0,medium,1513.3599747080727,1.1072346682719663,2.0,Research and Development,1662.3108949761174,290.3189646747521,0.06,0.5697,0.7947,0.6485,0.671
97063f67-4ef5-41e9-8982-89f2235a6aec,Does misreporting by one client affect other clients negatively?,2.0,medium,1513.2395963898407,1.2279247624596241,3.0,Compliance and Regulatory,1662.3108949761174,290.3189646747521,0.06,0.5213,0.6303,0.682,0.6112
13d172a6-bb0f-44ee-9b8a-09d3abab15ac,How does dynamic similarity analysis (DSA) extend generalized shape metrics in evaluating system-level dissimilarities?,2.0,medium,1513.3997473259606,1.139037318809509,,FLAGGED,1662.3108949761174,290.3189646747521,0.06,0.6956,0.8481,0.5651,0.7029
9199173b-3ed1-4118-88cd-1713fc5fa8a7,How do changes in effective microbial death rate influence parameters like alpha and beta?,2.0,medium,1513.4602728433156,1.0494835904427608,,FLAGGED,1662.3108949761174,290.3189646747521,0.06,0.5769,0.7806,0.5053,0.6209
